codcom;commune;RP2020;Département;Nom_CPTS;FINESS;Nom_CPTS_Miniscule;Statut
11421;Villedaigne;554;11-Aude;CPTS DU GRAND NARBONNE;11 000 973 5;Grand Narbonne;Accord conventionnel interprofessionnel signé
11422;Villedubert;345;11-Aude;CPTS ALARIC;11 000 946 1;Alaric;Accord conventionnel interprofessionnel signé
11423;Villefloure;156;11-Aude;CPTS MOYENNE ET HAUTE VALLEE DE L'AUDE;11 000 990 9;Moyenne et haute vallée de l'Aude;Accord conventionnel interprofessionnel signé
11424;Villefort;85;11-Aude;CPTS MOYENNE ET HAUTE VALLEE DE L'AUDE;11 000 990 9;Moyenne et haute vallée de l'Aude;Accord conventionnel interprofessionnel signé
11425;Villegailhenc;1658;11-Aude;CPTS CABARDES;11 000 952 9;Cabardès;Accord conventionnel interprofessionnel signé
11426;Villegly;1196;11-Aude;CPTS CABARDES;11 000 952 9;Cabardès;Accord conventionnel interprofessionnel signé
11427;Villelongue-d'Aude;299;11-Aude;CPTS MOYENNE ET HAUTE VALLEE DE L'AUDE;11 000 990 9;Moyenne et haute vallée de l'Aude;Accord conventionnel interprofessionnel signé
11428;Villemagne;247;11-Aude;CPTS CABARDES;11 000 952 9;Cabardès;Accord conventionnel interprofessionnel signé
11429;Villemoustaussou;4501;11-Aude;CPTS CABARDES;11 000 952 9;Cabardès;Accord conventionnel interprofessionnel signé
11430;Villeneuve-la-Comptal;1380;11-Aude;CPTS DU LAURAGAIS AUDOIS;11 001 005 5;Lauragais audois;Lettre d'intention validée
11431;Villeneuve-les-Corbières;251;11-Aude;CPTS DU GRAND NARBONNE;11 000 973 5;Grand Narbonne;Accord conventionnel interprofessionnel signé
11432;Villeneuve-lès-Montréal;335;11-Aude;;;;
11433;Villeneuve-Minervois;955;11-Aude;CPTS ALARIC;11 000 946 1;Alaric;Accord conventionnel interprofessionnel signé
11434;Villepinte;1260;11-Aude;CPTS DU LAURAGAIS AUDOIS;11 001 005 5;Lauragais audois;Lettre d'intention validée
11435;Villerouge-Termenès;157;11-Aude;;;;
11436;Villesèque-des-Corbières;370;11-Aude;CPTS DU GRAND NARBONNE;11 000 973 5;Grand Narbonne;Accord conventionnel interprofessionnel signé
11437;Villesèquelande;899;11-Aude;CPTS DU BASSIN CARCASSONNAIS;11 000 981 8;Bassin carcassonnais;Accord conventionnel interprofessionnel signé
11438;Villesiscle;381;11-Aude;;;;
11439;Villespy;408;11-Aude;CPTS DU LAURAGAIS AUDOIS;11 001 005 5;Lauragais audois;Lettre d'intention validée
11440;Villetritouls;34;11-Aude;;;;
11441;Vinassan;2662;11-Aude;CPTS DU GRAND NARBONNE;11 000 973 5;Grand Narbonne;Accord conventionnel interprofessionnel signé
12001;Agen-d'Aveyron;1086;12-Aveyron;CPTS CENTRE AVEYRON;;Centre Aveyron;Lettre d'intention validée
12002;Aguessac;887;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12003;Les Albres;342;12-Aveyron;;;;
12004;Almont-les-Junies;441;12-Aveyron;;;;
12006;Alrance;345;12-Aveyron;;;;
12007;Ambeyrac;177;12-Aveyron;CPTS POSAVI;12 000 930 3;POSAVI;Accord conventionnel interprofessionnel signé
12008;Anglars-Saint-Félix;918;12-Aveyron;;;;
12009;Arnac-sur-Dourdou;36;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12010;Arques;158;12-Aveyron;;;;
12011;Arvieu;764;12-Aveyron;;;;
12012;Asprières;755;12-Aveyron;CPTS GRAND FIGEAC ;46 000 786 7;Grand Figeac ;Accord conventionnel interprofessionnel signé
12013;Aubin;3640;12-Aveyron;;;;
12015;Auriac-Lagast;229;12-Aveyron;;;;
12016;Auzits;817;12-Aveyron;;;;
12017;Ayssènes;218;12-Aveyron;;;;
12018;Balaguier-d'Olt;180;12-Aveyron;CPTS GRAND FIGEAC ;46 000 786 7;Grand Figeac ;Accord conventionnel interprofessionnel signé
12019;Balaguier-sur-Rance;88;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12021;Le Bas Ségala;1576;12-Aveyron;CPTS POSAVI;12 000 930 3;POSAVI;Accord conventionnel interprofessionnel signé
12022;La Bastide-Pradines;113;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12023;La Bastide-Solages;104;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12024;Belcastel;193;12-Aveyron;;;;
12025;Belmont-sur-Rance;970;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12026;Bertholène;1060;12-Aveyron;;;;
12027;Bessuéjouls;209;12-Aveyron;CPTS NORD AVEYRON;;Nord Aveyron;Accord conventionnel interprofessionnel signé
12028;Boisse-Penchot;520;12-Aveyron;;;;
12029;Bor-et-Bar;200;12-Aveyron;CPTS POSAVI;12 000 930 3;POSAVI;Accord conventionnel interprofessionnel signé
12030;Bouillac;376;12-Aveyron;;;;
12031;Bournazel;346;12-Aveyron;;;;
12032;Boussac;598;12-Aveyron;;;;
12033;Bozouls;2951;12-Aveyron;CPTS NORD AVEYRON;;Nord Aveyron;Accord conventionnel interprofessionnel signé
12034;Brandonnet;295;12-Aveyron;CPTS POSAVI;12 000 930 3;POSAVI;Accord conventionnel interprofessionnel signé
12035;Brasc;173;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12036;Brommat;637;12-Aveyron;CPTS NORD AVEYRON;;Nord Aveyron;Accord conventionnel interprofessionnel signé
12037;Broquiès;609;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12038;Brousse-le-Château;165;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12039;Brusque;261;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12041;Cabanès;268;12-Aveyron;;;;
12042;Calmels-et-le-Viala;201;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12043;Calmont;2184;12-Aveyron;CPTS CENTRE AVEYRON;;Centre Aveyron;Lettre d'intention validée
12044;Camarès;1025;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12045;Camboulazet;380;12-Aveyron;;;;
12046;Camjac;574;12-Aveyron;;;;
12047;Campagnac;450;12-Aveyron;;;;
12048;Campouriez;341;12-Aveyron;CPTS NORD AVEYRON;;Nord Aveyron;Accord conventionnel interprofessionnel signé
12049;Campuac;457;12-Aveyron;CPTS NORD AVEYRON;;Nord Aveyron;Accord conventionnel interprofessionnel signé
12050;Canet-de-Salars;447;12-Aveyron;;;;
12051;Cantoin;310;12-Aveyron;CPTS NORD AVEYRON;;Nord Aveyron;Accord conventionnel interprofessionnel signé
12052;Capdenac-Gare;4400;12-Aveyron;CPTS GRAND FIGEAC ;46 000 786 7;Grand Figeac ;Accord conventionnel interprofessionnel signé
12053;La Capelle-Balaguier;337;12-Aveyron;CPTS POSAVI;12 000 930 3;POSAVI;Accord conventionnel interprofessionnel signé
12054;La Capelle-Bleys;347;12-Aveyron;CPTS POSAVI;12 000 930 3;POSAVI;Accord conventionnel interprofessionnel signé
12055;La Capelle-Bonance;83;12-Aveyron;;;;
12056;Baraqueville;3158;12-Aveyron;;;;
12057;Cassagnes-Bégonhès;936;12-Aveyron;;;;
12058;Cassuéjouls;105;12-Aveyron;CPTS NORD AVEYRON;;Nord Aveyron;Accord conventionnel interprofessionnel signé
12059;Castanet;516;12-Aveyron;CPTS POSAVI;12 000 930 3;POSAVI;Accord conventionnel interprofessionnel signé
12060;Castelmary;113;12-Aveyron;;;;
12061;Castelnau-de-Mandailles;570;12-Aveyron;CPTS NORD AVEYRON;;Nord Aveyron;Accord conventionnel interprofessionnel signé
12062;Castelnau-Pégayrols;348;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12063;La Cavalerie;2188;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12064;Le Cayrol;274;12-Aveyron;CPTS NORD AVEYRON;;Nord Aveyron;Accord conventionnel interprofessionnel signé
12065;Centrès;464;12-Aveyron;;;;
12066;Clairvaux-d'Aveyron;1146;12-Aveyron;;;;
12067;Le Clapier;75;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12068;Colombiès;872;12-Aveyron;;;;
12069;Combret;261;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12070;Compeyre;518;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12071;Compolibat;337;12-Aveyron;CPTS POSAVI;12 000 930 3;POSAVI;Accord conventionnel interprofessionnel signé
12072;Comprégnac;228;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12073;Comps-la-Grand-Ville;628;12-Aveyron;;;;
12074;Condom-d'Aubrac;292;12-Aveyron;CPTS NORD AVEYRON;;Nord Aveyron;Accord conventionnel interprofessionnel signé
12075;Connac;104;12-Aveyron;;;;
12076;Conques-en-Rouergue;1586;12-Aveyron;;;;
12077;Cornus;514;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12078;Les Costes-Gozon;180;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12079;Coubisou;488;12-Aveyron;CPTS NORD AVEYRON;;Nord Aveyron;Accord conventionnel interprofessionnel signé
12080;Coupiac;363;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12082;La Couvertoirade;191;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12083;Cransac;1472;12-Aveyron;;;;
12084;Creissels;1558;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12085;Crespin;315;12-Aveyron;;;;
12086;La Cresse;323;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12088;Curières;223;12-Aveyron;CPTS NORD AVEYRON;;Nord Aveyron;Accord conventionnel interprofessionnel signé
12089;Decazeville;5196;12-Aveyron;;;;
12090;Druelle Balsac;3196;12-Aveyron;CPTS CENTRE AVEYRON;;Centre Aveyron;Lettre d'intention validée
12091;Drulhe;458;12-Aveyron;CPTS POSAVI;12 000 930 3;POSAVI;Accord conventionnel interprofessionnel signé
12092;Durenque;523;12-Aveyron;;;;
12093;Le Fel;181;12-Aveyron;CPTS NORD AVEYRON;;Nord Aveyron;Accord conventionnel interprofessionnel signé
12094;Entraygues-sur-Truyère;981;12-Aveyron;CPTS NORD AVEYRON;;Nord Aveyron;Accord conventionnel interprofessionnel signé
12095;Escandolières;242;12-Aveyron;;;;
12096;Espalion;4643;12-Aveyron;CPTS NORD AVEYRON;;Nord Aveyron;Accord conventionnel interprofessionnel signé
12097;Espeyrac;250;12-Aveyron;;;;
12098;Estaing;476;12-Aveyron;CPTS NORD AVEYRON;;Nord Aveyron;Accord conventionnel interprofessionnel signé
12099;Fayet;238;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12100;Firmi;2363;12-Aveyron;;;;
12101;Flagnac;1081;12-Aveyron;;;;
12102;Flavin;2365;12-Aveyron;CPTS CENTRE AVEYRON;;Centre Aveyron;Lettre d'intention validée
12103;Florentin-la-Capelle;283;12-Aveyron;CPTS NORD AVEYRON;;Nord Aveyron;Accord conventionnel interprofessionnel signé
12104;Foissac;487;12-Aveyron;CPTS POSAVI;12 000 930 3;POSAVI;Accord conventionnel interprofessionnel signé
12105;La Fouillade;1108;12-Aveyron;CPTS POSAVI;12 000 930 3;POSAVI;Accord conventionnel interprofessionnel signé
12106;Gabriac;549;12-Aveyron;CPTS NORD AVEYRON;;Nord Aveyron;Accord conventionnel interprofessionnel signé
12107;Gaillac-d'Aveyron;318;12-Aveyron;;;;
12108;Galgan;374;12-Aveyron;;;;
12109;Gissac;98;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12110;Golinhac;340;12-Aveyron;;;;
12111;Goutrens;488;12-Aveyron;;;;
12113;Gramond;517;12-Aveyron;;;;
12115;L'Hospitalet-du-Larzac;308;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12116;Huparlac;261;12-Aveyron;CPTS NORD AVEYRON;;Nord Aveyron;Accord conventionnel interprofessionnel signé
12118;Lacroix-Barrez;525;12-Aveyron;CPTS NORD AVEYRON;;Nord Aveyron;Accord conventionnel interprofessionnel signé
12119;Laguiole;1230;12-Aveyron;CPTS NORD AVEYRON;;Nord Aveyron;Accord conventionnel interprofessionnel signé
12120;Laissac-Sévérac l'Église;2153;12-Aveyron;;;;
12121;Lanuéjouls;726;12-Aveyron;CPTS POSAVI;12 000 930 3;POSAVI;Accord conventionnel interprofessionnel signé
12122;Lapanouse-de-Cernon;124;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12124;Lassouts;315;12-Aveyron;;;;
12125;Laval-Roquecezière;277;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12127;Lédergues;638;12-Aveyron;;;;
12128;Lescure-Jaoul;219;12-Aveyron;CPTS POSAVI;12 000 930 3;POSAVI;Accord conventionnel interprofessionnel signé
12129;Lestrade-et-Thouels;448;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12130;Livinhac-le-Haut;1123;12-Aveyron;;;;
12131;La Loubière;1518;12-Aveyron;CPTS CENTRE AVEYRON;;Centre Aveyron;Lettre d'intention validée
12133;Luc-la-Primaube;5962;12-Aveyron;CPTS CENTRE AVEYRON;;Centre Aveyron;Lettre d'intention validée
12134;Lugan;351;12-Aveyron;;;;
12135;Lunac;439;12-Aveyron;CPTS POSAVI;12 000 930 3;POSAVI;Accord conventionnel interprofessionnel signé
12136;Maleville;936;12-Aveyron;CPTS POSAVI;12 000 930 3;POSAVI;Accord conventionnel interprofessionnel signé
12137;Manhac;841;12-Aveyron;;;;
12138;Marcillac-Vallon;1724;12-Aveyron;;;;
12139;Marnhagues-et-Latour;138;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12140;Martiel;975;12-Aveyron;CPTS POSAVI;12 000 930 3;POSAVI;Accord conventionnel interprofessionnel signé
12141;Martrin;219;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12142;Mayran;629;12-Aveyron;;;;
12143;Mélagues;62;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12144;Meljac;122;12-Aveyron;;;;
12145;Millau;21482;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12146;Le Monastère;2306;12-Aveyron;CPTS CENTRE AVEYRON;;Centre Aveyron;Lettre d'intention validée
12147;Montagnol;141;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12148;Montbazens;1417;12-Aveyron;;;;
12149;Montclar;150;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12150;Monteils;481;12-Aveyron;CPTS POSAVI;12 000 930 3;POSAVI;Accord conventionnel interprofessionnel signé
12151;Montézic;218;12-Aveyron;CPTS NORD AVEYRON;;Nord Aveyron;Accord conventionnel interprofessionnel signé
12152;Montfranc;128;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12153;Montjaux;426;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12154;Montlaur;633;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12155;Fondamente;334;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12156;Montpeyroux;528;12-Aveyron;CPTS NORD AVEYRON;;Nord Aveyron;Accord conventionnel interprofessionnel signé
12157;Montrozier;1717;12-Aveyron;CPTS CENTRE AVEYRON;;Centre Aveyron;Lettre d'intention validée
12158;Montsalès;326;12-Aveyron;CPTS POSAVI;12 000 930 3;POSAVI;Accord conventionnel interprofessionnel signé
12159;Morlhon-le-Haut;556;12-Aveyron;CPTS POSAVI;12 000 930 3;POSAVI;Accord conventionnel interprofessionnel signé
12160;Mostuéjouls;320;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12161;Mouret;549;12-Aveyron;;;;
12162;Moyrazès;1076;12-Aveyron;;;;
12163;Murasson;211;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12164;Mur-de-Barrez;696;12-Aveyron;CPTS NORD AVEYRON;;Nord Aveyron;Accord conventionnel interprofessionnel signé
12165;Muret-le-Château;362;12-Aveyron;;;;
12166;Murols;113;12-Aveyron;CPTS NORD AVEYRON;;Nord Aveyron;Accord conventionnel interprofessionnel signé
12167;Najac;701;12-Aveyron;CPTS POSAVI;12 000 930 3;POSAVI;Accord conventionnel interprofessionnel signé
12168;Nant;992;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12169;Naucelle;2023;12-Aveyron;;;;
12170;Naussac;373;12-Aveyron;CPTS POSAVI;12 000 930 3;POSAVI;Accord conventionnel interprofessionnel signé
12171;Nauviale;588;12-Aveyron;;;;
12172;Le Nayrac;528;12-Aveyron;CPTS NORD AVEYRON;;Nord Aveyron;Accord conventionnel interprofessionnel signé
12174;Olemps;3471;12-Aveyron;CPTS CENTRE AVEYRON;;Centre Aveyron;Lettre d'intention validée
12175;Ols-et-Rinhodes;189;12-Aveyron;CPTS POSAVI;12 000 930 3;POSAVI;Accord conventionnel interprofessionnel signé
12176;Onet-le-Château;11797;12-Aveyron;CPTS CENTRE AVEYRON;;Centre Aveyron;Lettre d'intention validée
12177;Palmas d'Aveyron;1028;12-Aveyron;;;;
12178;Paulhe;371;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12179;Peux-et-Couffouleux;85;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12180;Peyreleau;73;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12181;Peyrusse-le-Roc;210;12-Aveyron;;;;
12182;Pierrefiche;284;12-Aveyron;;;;
12183;Plaisance;219;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12184;Pomayrols;120;12-Aveyron;;;;
12185;Pont-de-Salars;1632;12-Aveyron;;;;
12186;Pousthomy;212;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12187;Prades-d'Aubrac;348;12-Aveyron;CPTS NORD AVEYRON;;Nord Aveyron;Accord conventionnel interprofessionnel signé
12188;Prades-Salars;319;12-Aveyron;;;;
12189;Pradinas;354;12-Aveyron;CPTS POSAVI;12 000 930 3;POSAVI;Accord conventionnel interprofessionnel signé
12190;Prévinquières;288;12-Aveyron;CPTS POSAVI;12 000 930 3;POSAVI;Accord conventionnel interprofessionnel signé
12191;Privezac;324;12-Aveyron;CPTS POSAVI;12 000 930 3;POSAVI;Accord conventionnel interprofessionnel signé
12192;Mounes-Prohencoux;186;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12193;Pruines;282;12-Aveyron;;;;
12194;Quins;852;12-Aveyron;;;;
12195;Rebourguil;270;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12197;Réquista;1978;12-Aveyron;;;;
12198;Rieupeyroux;1940;12-Aveyron;CPTS POSAVI;12 000 930 3;POSAVI;Accord conventionnel interprofessionnel signé
12199;Rignac;2006;12-Aveyron;;;;
12200;Rivière-sur-Tarn;1029;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12201;Rodelle;1071;12-Aveyron;CPTS NORD AVEYRON;;Nord Aveyron;Accord conventionnel interprofessionnel signé
12202;Rodez;24397;12-Aveyron;CPTS CENTRE AVEYRON;;Centre Aveyron;Lettre d'intention validée
12203;Roquefort-sur-Soulzon;555;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12204;La Roque-Sainte-Marguerite;177;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12205;La Rouquette;770;12-Aveyron;CPTS POSAVI;12 000 930 3;POSAVI;Accord conventionnel interprofessionnel signé
12206;Roussennac;631;12-Aveyron;;;;
12207;Rullac-Saint-Cirq;346;12-Aveyron;;;;
12208;Saint-Affrique;8018;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12209;Saint-Amans-des-Cots;749;12-Aveyron;CPTS NORD AVEYRON;;Nord Aveyron;Accord conventionnel interprofessionnel signé
12210;Saint-André-de-Najac;455;12-Aveyron;CPTS POSAVI;12 000 930 3;POSAVI;Accord conventionnel interprofessionnel signé
12211;Saint-André-de-Vézines;133;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12212;Saint-Beaulize;87;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12213;Saint-Beauzély;624;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12214;Saint-Chély-d'Aubrac;518;12-Aveyron;CPTS NORD AVEYRON;;Nord Aveyron;Accord conventionnel interprofessionnel signé
12215;Saint-Christophe-Vallon;1171;12-Aveyron;;;;
12216;Saint-Côme-d'Olt;1426;12-Aveyron;CPTS NORD AVEYRON;;Nord Aveyron;Accord conventionnel interprofessionnel signé
12217;Sainte-Croix;744;12-Aveyron;CPTS POSAVI;12 000 930 3;POSAVI;Accord conventionnel interprofessionnel signé
12219;Sainte-Eulalie-d'Olt;377;12-Aveyron;;;;
12220;Sainte-Eulalie-de-Cernon;299;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12221;Saint-Félix-de-Lunel;354;12-Aveyron;;;;
12222;Saint-Félix-de-Sorgues;187;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12223;Argences en Aubrac;1602;12-Aveyron;CPTS NORD AVEYRON;;Nord Aveyron;Accord conventionnel interprofessionnel signé
12224;Saint Geniez d'Olt et d'Aubrac;2217;12-Aveyron;;;;
12225;Saint-Georges-de-Luzençon;1606;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12226;Saint-Hippolyte;424;12-Aveyron;CPTS NORD AVEYRON;;Nord Aveyron;Accord conventionnel interprofessionnel signé
12227;Saint-Igest;178;12-Aveyron;CPTS POSAVI;12 000 930 3;POSAVI;Accord conventionnel interprofessionnel signé
12228;Saint-Izaire;308;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12229;Saint-Jean-d'Alcapiès;244;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12230;Saint-Jean-Delnous;393;12-Aveyron;;;;
12231;Saint-Jean-du-Bruel;717;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12232;Saint-Jean-et-Saint-Paul;281;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12233;Saint-Juéry;294;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12234;Sainte-Juliette-sur-Viaur;624;12-Aveyron;;;;
12235;Saint-Just-sur-Viaur;204;12-Aveyron;;;;
12236;Saint-Laurent-de-Lévézou;153;12-Aveyron;;;;
12237;Saint-Laurent-d'Olt;648;12-Aveyron;;;;
12238;Saint-Léons;425;12-Aveyron;;;;
12239;Saint-Martin-de-Lenne;324;12-Aveyron;;;;
12240;Saint-Parthem;401;12-Aveyron;;;;
12241;Sainte-Radegonde;1759;12-Aveyron;CPTS CENTRE AVEYRON;;Centre Aveyron;Lettre d'intention validée
12242;Saint-Rémy;306;12-Aveyron;CPTS POSAVI;12 000 930 3;POSAVI;Accord conventionnel interprofessionnel signé
12243;Saint-Rome-de-Cernon;957;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12244;Saint-Rome-de-Tarn;889;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12246;Saint-Santin;530;12-Aveyron;;;;
12247;Saint-Saturnin-de-Lenne;297;12-Aveyron;;;;
12248;Saint-Sernin-sur-Rance;607;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12249;Saint-Sever-du-Moustier;189;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12250;Saint-Symphorien-de-Thénières;210;12-Aveyron;CPTS NORD AVEYRON;;Nord Aveyron;Accord conventionnel interprofessionnel signé
12251;Saint-Victor-et-Melvieu;322;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12252;Salles-Courbatiès;439;12-Aveyron;CPTS POSAVI;12 000 930 3;POSAVI;Accord conventionnel interprofessionnel signé
12253;Salles-Curan;1005;12-Aveyron;;;;
12254;Salles-la-Source;2286;12-Aveyron;CPTS CENTRE AVEYRON;;Centre Aveyron;Lettre d'intention validée
12255;Salmiech;762;12-Aveyron;;;;
12256;Salvagnac-Cajarc;367;12-Aveyron;CPTS GRAND FIGEAC ;46 000 786 7;Grand Figeac ;Accord conventionnel interprofessionnel signé
12257;Causse-et-Diège;797;12-Aveyron;CPTS GRAND FIGEAC ;46 000 786 7;Grand Figeac ;Accord conventionnel interprofessionnel signé
12258;La Salvetat-Peyralès;989;12-Aveyron;CPTS POSAVI;12 000 930 3;POSAVI;Accord conventionnel interprofessionnel signé
12259;Sanvensa;643;12-Aveyron;CPTS POSAVI;12 000 930 3;POSAVI;Accord conventionnel interprofessionnel signé
12260;Sauclières;169;12-Aveyron;CPTS SUD AVEYRON;12 000 953 5;Sud Aveyron;Lettre d'intention validée
12261;Saujac;124;12-Aveyron;CPTS POSAVI;12 000 930 3;POSAVI;Accord conventionnel interprofessionnel signé
12262;Sauveterre-de-Rouergue;713;12-Aveyron;;;;
12263;Savignac;752;12-Aveyron;CPTS POSAVI;12 000 930 3;POSAVI;Accord conventionnel interprofessionnel signé
12264;Sébazac-Concourès;3330;12-Aveyron;CPTS CENTRE AVEYRON;;Centre Aveyron;Lettre d'intention validée
12265;Sébrazac;529;12-Aveyron;CPTS NORD AVEYRON;;Nord Aveyron;Accord conventionnel interprofessionnel signé
12266;Ségur;547;12-Aveyron;;;;
12267;La Selve;626;12-Aveyron;;;;
